OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-04-16T03:10:57.891072,15.34844011,0.00031711,53.1552,4.1211,159.275,200.8382,0,U,44714,999,35461,0.00078688731,0.00026685,0.0
STARLINK-1012,2019-074F,2026-04-16T03:10:12.397152,15.34150587,0.00036763,53.1602,4.4007,144.0726,216.0525,0,U,44718,999,35460,0.00045283802,0.00014835,0.0
STARLINK-1017,2019-074L,2026-04-16T01:46:57.236448,15.27565696,0.00033165,53.0511,358.5182,153.6459,206.4708,0,U,44723,999,35467,0.00081664985,0.00022029,0.0
STARLINK-1019,2019-074M,2026-04-16T00:00:02.000160,15.9562648,0.00049811,53.0355,307.282,279.7659,72.5714,0,U,44724,999,603,0.00060675937,0.00246971,3.5098157e-05
STARLINK-1020,2019-074N,2026-04-16T04:41:50.795520,15.33256085,0.00029298,53.1607,29.3252,146.0752,214.0438,0,U,44725,999,35424,0.00087484459,0.00028244,0.0
STARLINK-1036,2019-074AE,2026-04-15T23:11:24.088128,15.63955801,0.00046861,53.0462,7.0024,118.2806,241.8681,0,U,44741,999,35454,0.0007587375,0.00072972,0.0
STARLINK-1039,2019-074AH,2026-04-16T04:59:59.108928,15.25022392,0.00016837,53.0653,42.2246,65.5864,294.5309,0,U,44744,999,35407,0.0010916283,0.00027379,0.0
STARLINK-1042,2019-074AL,2026-04-15T21:38:47.956416,15.51860434,2.693e-05,53.0422,275.975,264.955,95.1428,0,U,44747,999,35584,0.00024113025,0.00014249,0.0
STARLINK-1043,2019-074AM,2026-04-16T01:33:50.771808,15.56189206,0.00022964,53.0526,13.82,133.9781,226.142,0,U,44748,999,35446,0.00035073325,0.00024601,0.0
STARLINK-1046,2019-074AQ,2026-04-16T02:37:38.045568,15.48438877,0.00015467,53.0525,32.4283,327.2563,32.8348,0,U,44751,999,35420,0.00071122134,0.00038113,0.0
STARLINK-1047,2019-074AR,2026-04-15T20:27:18.415008,15.33473302,0.00025275,53.0705,332.282,20.4198,339.6904,0,U,44752,999,35504,0.00014387667,4.35e-05,0.0
STARLINK-1048,2019-074AS,2026-04-16T01:46:48.335520,15.60297145,0.00029785,53.0499,347.5828,163.303,196.8081,0,U,44753,999,35482,0.00091728338,0.00076593,0.0
STARLINK-1063,2019-074BH,2026-04-16T06:25:38.516160,15.33806273,0.00036771,53.1586,44.4083,119.82,240.3168,0,U,44768,999,35407,0.00084664517,0.00027805,0.0
STARLINK-1067,2019-074BL,2026-04-15T22:54:52.185024,15.64904213,0.00061866,53.0494,22.3599,117.23,242.9346,0,U,44771,999,35433,0.00036614022,0.0003613,0.0
STARLINK-1068,2019-074BM,2026-04-16T06:22:14.665728,15.6878046,0.00040619,53.0469,355.0709,76.2595,283.8873,0,U,44772,999,35473,0.00042437037,0.00049208,0.0
STARLINK-1114,2020-001P,2026-04-16T05:52:31.198656,15.5709098,0.00045508,53.0453,148.1416,312.2537,47.8087,0,U,44927,999,34593,0.00062726508,0.00046048,0.0
STARLINK-1123,2020-001S,2026-04-16T04:49:45.215328,15.31603366,0.00037785,53.1471,170.9141,17.2573,342.8556,0,U,44930,999,34561,0.00062675195,0.00019077,0.0
STARLINK-1094,2020-001AD,2026-04-16T06:37:35.416704,15.33228673,0.00031807,53.1554,144.6621,43.3993,316.7259,0,U,44941,999,34599,0.00068283189,0.00021926,0.0
STARLINK-1122,2020-001AM,2026-04-16T06:19:51.695328,15.30806853,0.00013344,53.1569,145.0571,87.7417,272.3737,0,U,44949,999,34598,0.00088401668,0.00026413,0.0
STARLINK-1080,2020-001AZ,2026-04-16T00:01:59.731392,15.53740425,0.0001624,53.0475,109.0141,339.6491,20.4454,0,U,44961,999,34646,0.00080537528,0.0005237,0.0
STARLINK-1090,2020-001BG,2026-04-16T05:28:37.643808,15.31915066,0.0003798,53.15,132.0173,44.5226,315.608,0,U,44968,999,34616,0.0007629788,0.00023548,0.0
STARLINK-1132,2020-006A,2026-04-16T05:19:50.015424,15.48486518,0.00047058,53.1533,75.4332,31.8391,328.2901,0,U,45044,999,34273,0.0008666894,0.00046682,0.0
STARLINK-1131,2020-006D,2026-04-16T06:34:15.461184,15.3211557,0.00023694,53.1576,106.2562,71.8649,288.2611,0,U,45047,999,34230,0.00083679765,0.00026032,0.0
STARLINK-1134,2020-006E,2026-04-16T05:54:33.509952,15.48635025,0.00039768,53.0292,59.0551,328.0338,32.0427,0,U,45048,999,34295,0.00094803179,0.00051404,0.0
STARLINK-1156,2020-006L,2026-04-16T04:21:12.998016,15.30731213,0.00014381,53.1584,106.8304,91.0491,269.0675,0,U,45054,999,34228,0.00089826124,0.00026782,0.0
STARLINK-1159,2020-006P,2026-04-16T08:00:03.000384,15.98112451,0.00024199,53.0384,43.2895,132.2056,46.0282,0,U,45057,999,603,0.0005872079,0.0027417,4.1787515e-05
STARLINK-1166,2020-006S,2026-04-16T06:31:17.468544,15.51412456,0.0003204,53.0482,92.7863,32.2268,327.8935,0,U,45060,999,34248,0.00080961233,0.00048365,0.0
STARLINK-1169,2020-006T,2026-04-16T04:27:37.502208,15.33275779,0.00039165,53.1558,106.4986,68.2191,291.9228,0,U,45061,999,34229,0.0010318574,0.00033427,0.0
STARLINK-1171,2020-006U,2026-04-16T04:13:27.632064,15.67994218,0.00048732,53.0436,65.2323,84.6283,275.5289,0,U,45062,999,34286,0.00033773016,0.00037745,0.0
STARLINK-1133,2020-006W,2026-04-16T05:15:57.163968,15.30806344,0.00015101,53.1575,83.4541,100.282,259.8351,0,U,45064,999,34262,0.00091753042,0.00027431,0.0
STARLINK-1167,2020-006AD,2026-04-16T05:34:31.502784,15.3291371,0.00035163,53.1527,83.2835,75.8066,284.3326,0,U,45071,999,34262,0.00065263919,0.00020728,0.0
STARLINK-1168,2020-006AE,2026-04-16T04:49:10.169760,15.3076997,0.00015636,53.1594,83.7536,102.9352,257.1823,0,U,45072,999,34261,0.00083912245,0.00025019,0.0
STARLINK-1172,2020-006AG,2026-04-16T05:21:01.689408,15.33753188,0.00035924,53.1548,83.0318,72.6005,287.5389,0,U,45074,999,34262,0.0007069664,0.00023102,0.0
STARLINK-1153,2020-006AN,2026-04-16T05:11:12.762816,15.32840589,0.00042428,53.1588,83.2737,89.8325,270.3163,0,U,45080,999,34262,0.0012060373,0.00038625,0.0
STARLINK-1151,2020-006AP,2026-04-16T05:51:13.029120,15.70436701,0.00050856,53.0522,54.6995,97.0334,263.1261,0,U,45081,999,34301,0.00037286353,0.00046253,0.0
STARLINK-1185,2020-006AV,2026-04-16T04:16:03.906336,15.40470676,0.00021298,53.1612,66.5794,115.2209,244.9018,0,U,45087,999,34285,0.00085331982,0.00034861,0.0
STARLINK-1183,2020-006AW,2026-04-16T08:00:03.000384,15.30774054,0.00014208,53.1582,67.7082,107.1643,39.1329,0,U,45088,999,583,0.0024101689,0.00073018,0.0
STARLINK-1152,2020-006BE,2026-04-16T05:12:19.609632,15.42982243,0.00028378,53.0361,28.8165,48.1318,311.9928,0,U,45096,999,34337,0.00082375793,0.00036615,0.0
STARLINK-1184,2020-006BG,2026-04-16T05:32:34.010880,15.12124043,0.00016692,53.0522,75.6228,249.6471,110.4341,0,U,45098,999,34271,0.00078834758,0.00013467,0.0
STARLINK-1193,2020-006BJ,2026-04-16T02:12:25.396704,15.61559162,0.00064662,53.0497,48.5548,96.4658,263.7091,0,U,45100,999,34308,0.0008660621,0.00075948,0.0
STARLINK-1143,2020-012B,2026-04-15T09:59:28.493664,15.72313498,0.00044728,53.0441,148.9553,311.0715,48.9916,0,U,45179,999,34168,0.00062684731,0.00085012,0.0
STARLINK-1202,2020-012F,2026-04-16T07:25:05.223072,15.30580072,0.00013696,53.1582,224.5004,22.7812,337.325,0,U,45183,999,34071,0.00073393696,0.00021698,0.0
STARLINK-1216,2020-012H,2026-04-15T15:29:23.392032,15.30827148,0.00014059,53.1577,227.5513,35.139,324.9704,0,U,45185,999,34055,0.0011150261,0.00033462,0.0
STARLINK-1225,2020-012K,2026-04-15T12:17:02.131872,15.30775456,0.0001226,53.1575,228.6153,40.5424,319.5668,0,U,45187,999,34057,0.00080656,0.00024035,0.0
