object_name,object_id,mean_motion,eccentricity,inclination,arg_of_pericenter,norad_cat_id,object_name_unique
STARLINK-1008,2019-074B,15.34844011,0.00031711,53.1552,159.275,44714,STARLINK
STARLINK-1012,2019-074F,15.34150587,0.00036763,53.1602,144.0726,44718,STARLINK
STARLINK-1017,2019-074L,15.27565696,0.00033165,53.0511,153.6459,44723,STARLINK
STARLINK-1019,2019-074M,15.9562648,0.00049811,53.0355,279.7659,44724,STARLINK
STARLINK-1020,2019-074N,15.33256085,0.00029298,53.1607,146.0752,44725,STARLINK
STARLINK-1036,2019-074AE,15.63955801,0.00046861,53.0462,118.2806,44741,STARLINK
STARLINK-1039,2019-074AH,15.25022392,0.00016837,53.0653,65.5864,44744,STARLINK
STARLINK-1042,2019-074AL,15.51860434,2.693e-05,53.0422,264.955,44747,STARLINK
STARLINK-1043,2019-074AM,15.56189206,0.00022964,53.0526,133.9781,44748,STARLINK
STARLINK-1046,2019-074AQ,15.48438877,0.00015467,53.0525,327.2563,44751,STARLINK
STARLINK-1047,2019-074AR,15.33473302,0.00025275,53.0705,20.4198,44752,STARLINK
STARLINK-1048,2019-074AS,15.60297145,0.00029785,53.0499,163.303,44753,STARLINK
STARLINK-1063,2019-074BH,15.33806273,0.00036771,53.1586,119.82,44768,STARLINK
STARLINK-1067,2019-074BL,15.64904213,0.00061866,53.0494,117.23,44771,STARLINK
STARLINK-1068,2019-074BM,15.6878046,0.00040619,53.0469,76.2595,44772,STARLINK
STARLINK-1114,2020-001P,15.5709098,0.00045508,53.0453,312.2537,44927,STARLINK
STARLINK-1123,2020-001S,15.31603366,0.00037785,53.1471,17.2573,44930,STARLINK
STARLINK-1094,2020-001AD,15.33228673,0.00031807,53.1554,43.3993,44941,STARLINK
STARLINK-1122,2020-001AM,15.30806853,0.00013344,53.1569,87.7417,44949,STARLINK
STARLINK-1080,2020-001AZ,15.53740425,0.0001624,53.0475,339.6491,44961,STARLINK
STARLINK-1090,2020-001BG,15.31915066,0.0003798,53.15,44.5226,44968,STARLINK
STARLINK-1132,2020-006A,15.48486518,0.00047058,53.1533,31.8391,45044,STARLINK
STARLINK-1131,2020-006D,15.3211557,0.00023694,53.1576,71.8649,45047,STARLINK
STARLINK-1134,2020-006E,15.48635025,0.00039768,53.0292,328.0338,45048,STARLINK
STARLINK-1156,2020-006L,15.30731213,0.00014381,53.1584,91.0491,45054,STARLINK
STARLINK-1159,2020-006P,15.98112451,0.00024199,53.0384,132.2056,45057,STARLINK
STARLINK-1166,2020-006S,15.51412456,0.0003204,53.0482,32.2268,45060,STARLINK
STARLINK-1169,2020-006T,15.33275779,0.00039165,53.1558,68.2191,45061,STARLINK
STARLINK-1171,2020-006U,15.67994218,0.00048732,53.0436,84.6283,45062,STARLINK
STARLINK-1133,2020-006W,15.30806344,0.00015101,53.1575,100.282,45064,STARLINK
STARLINK-1167,2020-006AD,15.3291371,0.00035163,53.1527,75.8066,45071,STARLINK
STARLINK-1168,2020-006AE,15.3076997,0.00015636,53.1594,102.9352,45072,STARLINK
STARLINK-1172,2020-006AG,15.33753188,0.00035924,53.1548,72.6005,45074,STARLINK
STARLINK-1153,2020-006AN,15.32840589,0.00042428,53.1588,89.8325,45080,STARLINK
STARLINK-1151,2020-006AP,15.70436701,0.00050856,53.0522,97.0334,45081,STARLINK
STARLINK-1185,2020-006AV,15.40470676,0.00021298,53.1612,115.2209,45087,STARLINK
STARLINK-1183,2020-006AW,15.30774054,0.00014208,53.1582,107.1643,45088,STARLINK
STARLINK-1152,2020-006BE,15.42982243,0.00028378,53.0361,48.1318,45096,STARLINK
STARLINK-1184,2020-006BG,15.12124043,0.00016692,53.0522,249.6471,45098,STARLINK
STARLINK-1193,2020-006BJ,15.61559162,0.00064662,53.0497,96.4658,45100,STARLINK
STARLINK-1143,2020-012B,15.72313498,0.00044728,53.0441,311.0715,45179,STARLINK
STARLINK-1202,2020-012F,15.30580072,0.00013696,53.1582,22.7812,45183,STARLINK
STARLINK-1216,2020-012H,15.30827148,0.00014059,53.1577,35.139,45185,STARLINK
STARLINK-1225,2020-012K,15.30775456,0.0001226,53.1575,40.5424,45187,STARLINK
STARLINK-1230,2020-012M,15.30796352,0.00011008,53.1591,36.0258,45189,STARLINK
STARLINK-1234,2020-012N,15.67905762,0.00089652,53.0407,45.1874,45190,STARLINK
STARLINK-1269,2020-012V,15.30865982,6.348e-05,53.158,15.5577,45197,STARLINK
STARLINK-1154,2020-012W,15.52317059,0.00032518,53.0448,286.0127,45198,STARLINK
STARLINK-1199,2020-012Z,15.30819947,9.511e-05,53.1584,37.7408,45201,STARLINK
STARLINK-1209,2020-012AE,15.57912051,0.0012039,53.0411,29.4793,45206,STARLINK
STARLINK-1231,2020-012AL,15.24421569,0.00032908,53.0361,278.1203,45212,STARLINK
STARLINK-1271,2020-012AR,15.3070928,0.00013607,53.159,32.1525,45217,STARLINK
STARLINK-1191,2020-012AW,15.34045629,0.00045682,53.1565,5.4411,45222,STARLINK
STARLINK-1212,2020-012AX,15.59700012,0.00058686,53.0444,333.4005,45223,STARLINK
STARLINK-1215,2020-012AZ,15.30935428,0.00039181,53.1584,63.8205,45225,STARLINK
STARLINK-1221,2020-012BB,15.43250634,0.00036903,53.0645,103.9379,45227,STARLINK
