current_official_name_of_satellite,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,perigee_km,launch_mass_kg,date_of_launch,expected_lifetime_yrs,launch_vehicle,norad_number,launch_year
1HOPSAT-TD,USA,hera systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,566.0,576.0,566.0,22.0,2019-12-11,4.0,ISRO PSLV,44859,2019
AAC AIS-Sat1 (Kelpie 1),United Kingdom,aac clyde space,Commercial,Earth Observation,LEO,Sun-Synchronous,637.0,654.0,637.0,4.0,2023-01-03,4.0,SpaceX Falcon,55107,2023
Aalto-1,Finland,aalto university,Civil,Technology Development,LEO,Sun-Synchronous,497.0,517.0,497.0,5.0,2017-06-23,2.0,ISRO PSLV,42775,2017
AAt-4,Denmark,university of aalborg,Civil,Earth Observation,LEO,Sun-Synchronous,442.0,687.0,442.0,1.0,2016-04-25,4.0,Soyuz Family,41460,2016
ABS-2,Multinational,asia broadcast satellite ltd.,Commercial,Communications,GEO,Unknown,35.778,35.793,35.778,6.33,2014-02-06,15.0,Ariane Family,39508,2014
ABS-2A,Multinational,asia broadcast satellite ltd.,Commercial,Communications,GEO,Unknown,35.7,35.7,35.7,1.8,2016-06-15,15.0,SpaceX Falcon,41588,2016
ABS-3A,Multinational,asia broadcast satellite ltd.,Commercial,Communications,GEO,Unknown,35.788,35.803,35.788,2.0,2015-03-02,15.0,SpaceX Falcon,40424,2015
ABS-4,Multinational,asia broadcast satellite ltd.,Commercial,Communications,GEO,Unknown,35.78,35.793,35.78,4.143,2004-03-13,12.0,Atlas Family,28184,2004
ABS-6,Multinational,asia broadcast satellite ltd.,Commercial,Communications,GEO,Unknown,35.777,35.794,35.777,2.894,1999-09-26,15.0,Proton Family,25924,1999
Adelis-Sampson 1,Israel,asher space research institute at technion/israeli aircraft industries,Government,Technology Development,LEO,Sun-Synchronous,538.0,561.0,538.0,9.0,2021-03-22,4.0,Soyuz Family,47937,2021
Adelis-Sampson 2,Israel,asher space research institute at technion/israeli aircraft industries,Government,Technology Development,LEO,Sun-Synchronous,539.0,599.0,539.0,9.0,2021-03-22,4.0,Soyuz Family,47939,2021
Adelis-Sampson 3,Israel,asher space research institute at technion/israeli aircraft industries,Government,Technology Development,LEO,Sun-Synchronous,537.0,561.0,537.0,9.0,2021-03-22,4.0,Soyuz Family,47943,2021
ADLER-2,Austria,austrian space forum (oewf)/spire,Civil,Earth Science,LEO,Sun-Synchronous,497.0,506.0,497.0,12.0,2023-04-15,4.0,SpaceX Falcon,56187,2023
USA 311,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.7,35.8,35.7,5.4,2020-12-11,15.0,Delta Family,47237,2020
USA 139,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.56,36.013,35.56,5.2,1998-05-09,15.0,Titan Family,25336,1998
USA 171,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.589,35.984,35.589,5.2,2003-09-09,15.0,Titan Family,27937,2003
USA 202,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.714,35.937,35.714,5.4,2009-01-18,15.0,Delta Family,33490,2009
USA 223,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.5,35.5,35.5,5.0,2010-11-21,15.0,Delta Family,37232,2010
USA 237,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.771,35.805,35.771,5.0,2012-06-29,15.0,Delta Family,38528,2012
USA 268,USA,national reconnaissance office (nro),Military,Earth Observation,GEO,Unknown,35.613,35.903,35.613,5.0,2016-06-11,15.0,Delta Family,41584,2016
USA 246,USA,us air force,Military,Communications,GEO,Unknown,35.7,35.803,35.7,6.169,2013-09-18,14.0,Atlas Family,39256,2013
USA 288,USA,us air force,Military,Communications,GEO,Unknown,35.781,35.79,35.781,6.169,2018-10-17,15.0,Atlas Family,43651,2018
USA 292,USA,us air force,Military,Communications,GEO,Unknown,35.78,35.81,35.78,6.169,2019-08-08,15.0,Atlas Family,44481,2019
USA 298,USA,us air force,Military,Communications,GEO,Unknown,35.78,35.78,35.78,6.169,2020-03-26,15.0,Atlas Family,45465,2020
USA 235,USA,us air force,Military,Communications,GEO,Unknown,35.772,35.801,35.772,6.169,2012-05-03,14.0,Atlas Family,38254,2012
Aeneas,USA,department of homeland security,Government,Technology Development,LEO,Equatorial,480.0,790.0,480.0,3.0,2012-09-13,4.0,Atlas Family,38760,2012
Aeolus,ESA,european space agency (esa),Government,Earth Observation,LEO,Non-Polar Inclined,314.0,317.0,314.0,1.367,2018-08-22,3.0,Vega Family,43600,2018
Aerocube 11A,USA,aerospace corporation,Commercial,Technology Development,LEO,Polar,495.0,511.0,495.0,4.0,2018-12-17,4.0,Electron,43861,2018
Aerocube 11B,USA,aerospace corporation,Commercial,Technology Development,LEO,Polar,492.0,511.0,492.0,4.0,2018-12-17,4.0,Electron,43849,2018
Aerocube 12A,USA,aerospace corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,481.0,487.0,481.0,4.0,2018-07-16,4.0,Non-Launch Systems,43556,2018
Aerocube 12B,USA,aerospace corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,481.0,487.0,481.0,4.0,2018-07-16,4.0,Non-Launch Systems,43557,2018
Aerocube 14A,USA,aerospace corporation,Military,Technology Development,LEO,Non-Polar Inclined,459.0,474.0,459.0,199.87465311986864,2020-01-31,4.0,Non-Launch Systems,45114,2020
Aerocube 14B,USA,aerospace corporation,Military,Technology Development,LEO,Non-Polar Inclined,459.0,474.0,459.0,199.87465311986864,2020-01-31,4.0,Non-Launch Systems,45116,2020
Aerocube 15A,USA,aerospace corporation,Military,Technology Development,LEO,Non-Polar Inclined,458.0,474.0,458.0,199.87465311986864,2020-01-31,4.0,Non-Launch Systems,45117,2020
Aerocube 5C,USA,aerospace corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,500.0,802.0,500.0,2.0,2015-10-08,4.0,Atlas Family,40965,2015
Aerocube 6A,USA,aerospace corporation,Commercial,Technology Development,LEO,Sun-Synchronous,614.0,700.0,614.0,5.0,2014-06-19,3.0,Dnepr,40045,2014
Aerocube 6B,USA,aerospace corporation,Commercial,Technology Development,LEO,Sun-Synchronous,614.0,700.0,614.0,5.0,2014-06-19,3.0,Dnepr,40046,2014
Aerocube 7A,USA,aerospace corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,500.0,802.0,500.0,2.0,2015-10-08,4.0,Atlas Family,40966,2015
Aerocube 8C,USA,aerospace corporation,Commercial,Technology Development,LEO,Sun-Synchronous,569.0,584.0,569.0,5.0,2016-11-11,4.0,Atlas Family,41853,2016
Aerocube 8D,USA,aerospace corporation,Commercial,Technology Development,LEO,Sun-Synchronous,572.0,584.0,572.0,2.0,2016-11-11,4.0,Atlas Family,41852,2016
Eutelsat 48D,Multinational,eutelsat s.a.,Commercial,Communications,GEO,Unknown,35.764,35.808,35.764,3.46,2008-12-20,15.0,Ariane Family,33460,2008
AII-Bravo,Lithuania,aurora insight,Commercial,Communications,LEO,Sun-Synchronous,609.0,613.0,609.0,9.0,2021-04-29,4.0,Vega Family,48270,2021
AII-Charlie,Lithuania,aurora insight,Commercial,Communications,LEO,Sun-Synchronous,522.0,535.0,522.0,9.0,2021-01-24,4.0,SpaceX Falcon,47440,2021
AIM,USA,"center for atmospheric sciences, hampton university/nasa",Government,Earth Observation,LEO,Sun-Synchronous,544.0,552.0,544.0,215.0,2007-04-25,2.0,Pegasus XL,31304,2007
AISSat-1,Norway,norwegian coastal admnistration,Government,Communications,LEO,Sun-Synchronous,615.0,632.0,615.0,6.0,2010-07-12,3.0,ISRO PSLV,36797,2010
AISSat-2,Norway,norwegian coastal admnistration,Government,Communications,LEO,Sun-Synchronous,625.0,631.0,625.0,6.0,2014-07-08,3.0,Soyuz Family,40075,2014
AISTechSat-2,Spain,aistech,Commercial,Earth Observation,LEO,Sun-Synchronous,574.0,592.0,574.0,3.0,2018-12-03,4.0,SpaceX Falcon,43768,2018
AISTechSat-3,Spain,aistech,Commercial,Earth Observation,LEO,Sun-Synchronous,490.0,506.0,490.0,2.0,2019-04-01,4.0,ISRO PSLV,44103,2019
Al Yah-3,United Arab Emirates,al yah satellite communications co. (yahsat),Commercial,Communications,GEO,Unknown,35.777,35.796,35.777,3.795,2018-01-25,15.0,Ariane Family,43174,2018
Al-Farabi-2,Kazakhstan,al-farabi kazakh national university,Civil,Technology Development,LEO,Sun-Synchronous,573.0,589.0,573.0,4.0,2018-12-03,4.0,SpaceX Falcon,43805,2018
Alcomsat,Algeria,algerian space agency (asal),Government,Communications,GEO,Unknown,35.744,35.798,35.744,5.225,2017-12-10,15.0,Long March Family,43039,2017
ALE-2,Japan,astro live experiences,Commercial,Earth Science,LEO,Sun-Synchronous,397.0,414.0,397.0,75.0,2019-12-06,4.0,Electron,44824,2019
Alfa Crux,Brazil,university of brasilia,Civil,Technology Development,LEO,Sun-Synchronous,499.0,511.0,499.0,1.0,2022-04-01,4.0,SpaceX Falcon,52160,2022
ALiCE,USA,us air force institute of technology,Military,Technology Development,LEO,Polar,443.0,886.0,443.0,5.0,2013-12-06,4.0,Atlas Family,39467,2013
Alsat-1B,Algeria,algerian space agency (asal),Government,Earth Observation,LEO,Sun-Synchronous,661.0,704.0,661.0,103.0,2016-09-26,5.0,ISRO PSLV,41785,2016
AlSat-1N,Algeria,algerian space agency (asal)/uk space agency,Government,Technology Development,LEO,Sun-Synchronous,661.0,698.0,661.0,10.0,2016-09-26,4.0,ISRO PSLV,41789,2016
Alsat-2A,Algeria,algerian space agency (asal),Government,Earth Observation,LEO,Sun-Synchronous,672.0,674.0,672.0,130.0,2010-07-12,5.0,ISRO PSLV,36798,2010
Alsat-2B,Algeria,algerian space agency (asal),Government,Earth Observation,LEO,Sun-Synchronous,646.0,660.0,646.0,117.0,2016-09-26,5.0,ISRO PSLV,41786,2016
Amazonas-2,Spain,hispamar (subsidiary of hispasat - spain),Commercial,Communications,GEO,Unknown,35.767,35.805,35.767,5.465,2009-10-01,15.0,Ariane Family,35942,2009
Amazonas-3,Spain,hispamar (subsidiary of hispasat - spain),Commercial,Communications,GEO,Unknown,35.781,35.791,35.781,6.265,2013-02-07,15.0,Ariane Family,39078,2013
Amazonas-4A,Spain,hispamar (subsidiary of hispasat - spain),Commercial,Communications,GEO,Unknown,35.784,35.795,35.784,2.938,2014-03-22,15.0,Ariane Family,39616,2014
Amazonas-5,Spain,hispamar (subsidiary of hispasat - spain),Commercial,Communications,GEO,Unknown,35.785,35.789,35.785,5.9,2017-09-12,15.0,Proton Family,42934,2017
