norad_cat_id,object_type,country,launch_year
1,ROCKET BODY,CIS,1957
2,PAYLOAD,CIS,1957
3,PAYLOAD,CIS,1957
4,PAYLOAD,US,1958
16,ROCKET BODY,US,1958
5,PAYLOAD,US,1958
1576,DEBRIS,US,1958
6,PAYLOAD,US,1958
7,ROCKET BODY,CIS,1958
8,PAYLOAD,CIS,1958
9,PAYLOAD,US,1958
10,PAYLOAD,US,1958
110,PAYLOAD,US,1958
111,PAYLOAD,US,1958
11,PAYLOAD,US,1959
12,ROCKET BODY,US,1959
5807,DEBRIS,US,1959
14934,DEBRIS,US,1959
61446,DEBRIS,US,1959
13,PAYLOAD,US,1959
14,PAYLOAD,US,1959
15,PAYLOAD,US,1959
17,ROCKET BODY,US,1959
18,PAYLOAD,US,1959
26,PAYLOAD,US,1959
19,PAYLOAD,US,1959
20,PAYLOAD,US,1959
29005,DEBRIS,US,1959
31405,DEBRIS,US,1959
21,PAYLOAD,CIS,1959
22,PAYLOAD,US,1959
23,ROCKET BODY,US,1959
24,PAYLOAD,US,1959
25,PAYLOAD,US,1959
112,PAYLOAD,CIS,1959
113,PAYLOAD,US,1959
114,PAYLOAD,CIS,1959
27,PAYLOAD,US,1960
28,ROCKET BODY,US,1960
29,PAYLOAD,US,1960
101,DEBRIS,US,1960
115,DEBRIS,US,1960
30,ROCKET BODY,US,1960
31,PAYLOAD,US,1960
33,DEBRIS,US,1960
99,DEBRIS,US,1960
32,PAYLOAD,US,1960
34,PAYLOAD,CIS,1960
35,ROCKET BODY,CIS,1960
36,PAYLOAD,CIS,1960
37,DEBRIS,CIS,1960
38,DEBRIS,CIS,1960
39,DEBRIS,CIS,1960
40,DEBRIS,CIS,1960
41,DEBRIS,CIS,1960
42,DEBRIS,CIS,1960
43,PAYLOAD,US,1960
44,DEBRIS,US,1960
45,PAYLOAD,US,1960
46,PAYLOAD,US,1960
47,ROCKET BODY,US,1960
840,DEBRIS,US,1960
841,DEBRIS,US,1960
48,PAYLOAD,US,1960
49,PAYLOAD,US,1960
50,ROCKET BODY,US,1960
51,DEBRIS,US,1960
52,DEBRIS,US,1960
53,DEBRIS,US,1960
54,PAYLOAD,US,1960
55,PAYLOAD,CIS,1960
56,ROCKET BODY,CIS,1960
57,PAYLOAD,US,1960
58,PAYLOAD,US,1960
59,ROCKET BODY,US,1960
60,PAYLOAD,US,1960
62,ROCKET BODY,US,1960
69,DEBRIS,US,1960
105,DEBRIS,US,1960
61,PAYLOAD,US,1960
63,PAYLOAD,US,1960
64,ROCKET BODY,US,1960
74,DEBRIS,US,1960
75,DEBRIS,US,1960
5922,DEBRIS,US,1960
65,PAYLOAD,CIS,1960
66,ROCKET BODY,CIS,1960
67,PAYLOAD,US,1960
68,PAYLOAD,US,1960
70,PAYLOAD,US,1961
79,ROCKET BODY,US,1961
71,PAYLOAD,CIS,1961
72,ROCKET BODY,CIS,1961
73,DEBRIS,CIS,1961
80,PAYLOAD,CIS,1961
76,ROCKET BODY,CIS,1961
77,PAYLOAD,CIS,1961
78,DEBRIS,CIS,1961
81,PAYLOAD,US,1961
82,ROCKET BODY,US,1961
85,DEBRIS,US,1961
86,DEBRIS,US,1961
3738,DEBRIS,US,1961
3927,DEBRIS,US,1961
4026,DEBRIS,US,1961
5237,DEBRIS,US,1961
83,PAYLOAD,US,1961
88,DEBRIS,US,1961
89,DEBRIS,US,1961
90,DEBRIS,US,1961
84,PAYLOAD,US,1961
87,PAYLOAD,US,1961
91,PAYLOAD,CIS,1961
92,DEBRIS,CIS,1961
93,DEBRIS,CIS,1961
94,DEBRIS,CIS,1961
95,PAYLOAD,CIS,1961
96,ROCKET BODY,CIS,1961
97,DEBRIS,CIS,1961
98,PAYLOAD,US,1961
100,PAYLOAD,US,1961
102,PAYLOAD,US,1961
106,DEBRIS,US,1961
103,PAYLOAD,CIS,1961
104,ROCKET BODY,CIS,1961
107,PAYLOAD,US,1961
3739,DEBRIS,US,1961
108,PAYLOAD,US,1961
109,DEBRIS,US,1961
116,PAYLOAD,US,1961
140,DEBRIS,US,1961
141,DEBRIS,US,1961
142,DEBRIS,US,1961
143,DEBRIS,US,1961
144,DEBRIS,US,1961
145,DEBRIS,US,1961
146,DEBRIS,US,1961
147,DEBRIS,US,1961
148,DEBRIS,US,1961
149,DEBRIS,US,1961
150,DEBRIS,US,1961
151,DEBRIS,US,1961
152,DEBRIS,US,1961
153,DEBRIS,US,1961
154,DEBRIS,US,1961
155,DEBRIS,US,1961
156,DEBRIS,US,1961
157,DEBRIS,US,1961
158,DEBRIS,US,1961
159,DEBRIS,US,1961
161,DEBRIS,US,1961
171,DEBRIS,US,1961
172,DEBRIS,US,1961
175,DEBRIS,US,1961
117,PAYLOAD,US,1961
176,DEBRIS,US,1961
177,DEBRIS,US,1961
178,DEBRIS,US,1961
179,DEBRIS,US,1961
210,DEBRIS,US,1961
211,DEBRIS,US,1961
212,DEBRIS,US,1961
216,DEBRIS,US,1961
220,DEBRIS,US,1961
223,DEBRIS,US,1961
224,DEBRIS,US,1961
225,DEBRIS,US,1961
230,DEBRIS,US,1961
231,DEBRIS,US,1961
232,DEBRIS,US,1961
233,DEBRIS,US,1961
234,DEBRIS,US,1961
235,DEBRIS,US,1961
236,DEBRIS,US,1961
237,DEBRIS,US,1961
238,DEBRIS,US,1961
239,DEBRIS,US,1961
243,DEBRIS,US,1961
244,DEBRIS,US,1961
118,ROCKET BODY,US,1961
245,DEBRIS,US,1961
246,DEBRIS,US,1961
250,DEBRIS,US,1961
252,DEBRIS,US,1961
253,DEBRIS,US,1961
254,DEBRIS,US,1961
260,DEBRIS,US,1961
261,DEBRIS,US,1961
262,DEBRIS,US,1961
263,DEBRIS,US,1961
264,DEBRIS,US,1961
265,DEBRIS,US,1961
268,DEBRIS,US,1961
275,DEBRIS,US,1961
299,DEBRIS,US,1961
300,DEBRIS,US,1961
301,DEBRIS,US,1961
317,DEBRIS,US,1961
318,DEBRIS,US,1961
319,DEBRIS,US,1961
320,DEBRIS,US,1961
321,DEBRIS,US,1961
322,DEBRIS,US,1961
323,DEBRIS,US,1961
119,DEBRIS,US,1961
324,DEBRIS,US,1961
325,DEBRIS,US,1961
326,DEBRIS,US,1961
327,DEBRIS,US,1961
